,URL,Seller,Marketplace,Title,Price,Number of Reviews,Review Feedback,Item Condition,Quote,Location
0,http://www.ebay.com/itm/New-HARMONIC-Scalpel-Hand-Piece-HP054-Ethicon-GEN4-G300-G11-Generator-/331743359848,mdi240,Ebay,"New! HARMONIC Scalpel Hand Piece HP054 for Ethicon GEN4, G300, G11 Generator","US $1,549.00",2009,99.4% Positive feedback,New,,"Mount Vernon, New York, United States"
1,http://www.ebay.com/itm/Ethicon-G300-GEN04-Generator-Endo-Surgery-Ultracision-Harmonic-NEW-HP054-/161933470626,medogenmedical,Ebay,"Ethicon G300/GEN04 Generator Endo-Surgery Ultracision Harmonic + ""NEW"" HP054 ","US $5,450.00",107,100% Positive feedback,Used,"BIOMEDICALY CERTIFIED! PATIENT READY! GREAT WORKING CONDITION. USED ITEM, SEE DETAILED PICTURES.","Scottsdale, Arizona, United States"
2,http://www.ebay.com/itm/Ethicon-Harmonic-G300-GEN-04-Generator-Scalpel-HP054-Ace23E-Footswitc-/191771300826,idrees2007,Ebay,Ethicon Harmonic G300 / GEN 04 Generator with Scalpel HP054 + Ace23E & Footswitc,"US $6,999.00",13992,,Used,"Excellent working condition, please check all pictures.","Jersey City, New Jersey, United States"
3,http://www.ebay.com/itm/Ethicon-ACE36E-Harmonic-Scalpel-Ace-Shears-w-Pistol-Grip-Torque-Wrench-/191769599914,jec_enterprises,Ebay,Ethicon ACE36E Harmonic Scalpel Ace Shears w/ Pistol Grip & Torque Wrench,US $275.00,346,,New other (see details),,"New Durham, New Hampshire, United States"
4,http://www.ebay.com/itm/Ethicon-HARMONIC-Scalpel-Hand-Piece-HPBlue-Ethicon-GEN4-G300-G11-Generator-/252230358599,tools4docs,Ebay,Ethicon HARMONIC Scalpel Hand Piece HPBlue for Ethicon GEN4 G300 G11 Generator,"US $1,750.00",327,,Used,"Big or Small, We do what We say and We say what We do, No exceptions !","Atlanta, Georgia, United States"
5,http://www.ebay.com/itm/Ethicon-Harmonic-G300-GEN-04-Generator-HAR36-Shears-and-Scalpel-HP054-/252231053761,tools4docs,Ebay,Ethicon Harmonic G300 / GEN 04 Generator with HAR36 Shears and Scalpel HP054,"US $6,900.00",327,,Used,"Big or Small, We do what We say and We say what We do, No exceptions !","Atlanta, Georgia, United States"
6,http://www.ebay.com/itm/Weck-Horizon-reusable-lap-clip-appliers-M-L-338170-Large-438170-ligaclip-endo-/111860611742,grapej1026,Ebay,Weck Horizon reusable lap clip appliers M-L 338170 Large 438170 ligaclip endo ,US $349.00,135,,New,,"Slingerlands, New York, United States"
7,http://www.ebay.com/itm/Ethicon-Endo-Surgery-CRT01-Harmonic-Scalpel-G110-Generator-Cart-/172043962427,medicalequipmentesi,Ebay,Ethicon Endo-Surgery CRT01 Harmonic Scalpel G110 Generator Cart,US $200.00,2347,,Used,30 DAY WARRANTY,"Denver, Colorado, United States"
8,http://www.ebay.com/itm/Weck-Hemoclip-Small-clips-52365-and-Small-clip-applier-523140-Ligaclip-/111859151040,grapej1026,Ebay,Weck Hemoclip Small clips 52365 and Small clip applier 523140 Ligaclip ,US $43.50,135,,New,,"Slingerlands, New York, United States"
9,http://www.ebay.com/itm/Ethicon-Ligaclip-Applier-small-clips-/381503192653,amdamom,Ebay,"Ethicon Ligaclip Applier, for small clips",US $24.00,9315,100% Positive feedback,Used,"inspected - not tested, excellent overall appearance","Richmond, Virginia, United States"
10,http://www.ebay.com/itm/ETHICON-HAR36-harmonic-36-cm-exp-12-2018-DATE-reprocessed-/111859098410,medicos2014,Ebay,ETHICON HAR36 harmonic 36 cm  exp:12/2018 IN DATE reprocessed,US $250.00,31,100% Positive feedback,New other (see details),,"Nahariya, israel, Israel"
11,http://www.ebay.com/itm/ETHICON-LigaclipClip-Applier-Small-NEW-/311513168959,keystone_enterprises,Ebay,ETHICON LigaclipClip Applier Small NEW,US $24.99,34101,99.9% Positive feedback,New other (see details),Items are NEW but may be out of date or open box,"Bonham, Texas, United States"
12,http://www.ebay.com/itm/ETHICON-ENDO-SURGERY-Generator-G11-GEN11-HARMONIC-and-ENSEAL-Devices-/252231060344,tools4docs,Ebay,ETHICON ENDO-SURGERY Generator G11 / GEN11 for HARMONIC and ENSEAL Devices,"US $15,000.00",327,,Used,"Big or Small, We do what We say and We say what We do, No exceptions !","Atlanta, Georgia, United States"
13,http://www.ebay.com/itm/Ethicon-Medium-Ligaclip-applier-7-/111858427110,amdamom,Ebay,"Ethicon Medium Ligaclip applier, 7""",US $28.00,9315,,Used,"very good overall, tested for proper operation","Richmond, Virginia, United States"
14,http://www.ebay.com/itm/Ethicon-HP054-Harmonic-Scalpel-90-Day-Warranty-/141859718495,recyclemedical,Ebay,"Ethicon HP054 Harmonic Scalpel, 90 Day Warranty",US $979.00,247,,Used,,"Largo, Florida, United States"
15,http://www.ebay.com/itm/BNITB-Ethicon-HARMONIC-Scalpel-Hand-Piece-HP054-Ethicon-GEN4-G300-G11-/252223166371,tools4docs,Ebay,BNITB Ethicon HARMONIC Scalpel Hand Piece HP054 for Ethicon GEN4 G300 G11,"US $2,250.00",327,,New,,"Atlanta, Georgia, United States"
16,http://www.ebay.com/itm/ETHICON-ULTRACISION-HARMONIC-SCALPEL-GENERATOR-300-GEN-4-Gen04-/252222781141,winid2015,Ebay,ETHICON ULTRACISION HARMONIC SCALPEL GENERATOR 300 GEN 4 Gen04,"US $2,499.00",69,,Used,This unit is used in excellent working condition and has moderate cuffs and scrapes from regular ,"Minden, Nevada, United States"
17,http://www.ebay.com/itm/Lot-4-Ethicon-Ligaclip-Applier-Small-7-5-LC-107-/141863107096,877444unix,Ebay,"Lot of 4!  Ethicon Ligaclip Applier Small 7.5""  LC-107",US $64.50,20065,99.8% Positive feedback,Used,,"Howell, Michigan, United States"
18,http://www.ebay.com/itm/Ligaclip-Endoscopic-Applier-Medium-EL-214-/111855676803,melmdresource,Ebay,"Ligaclip Endoscopic Applier, Medium, EL-214",US $200.00,138,,New,,"Livermore, California, United States"
19,http://www.ebay.com/itm/Lane-10-1-2-LIGACLIP-Applier-NEW-/141859832232,keystone_enterprises,Ebay,Lane 10-1/2 in LIGACLIP Applier NEW,US $24.99,34101,99.9% Positive feedback,New,,"Bonham, Texas, United States"
20,http://www.ebay.com/itm/Box-6-HK105-Ethicon-Harmonic-Combination-Hook-Blades-5mm-x-10cm-x-/191764718248,collectibles-n-more,Ebay,Box of 6 HK105: Ethicon Harmonic Combination Hook Blades 5mm x 10cm  (x),US $150.00,70,,New other (see details),All units are sealed and in original packaging. Exp: 07/2015,"Houston, Texas, United States"
21,http://www.ebay.com/itm/Ethicon-G300-Gen-4-Ultracision-Harmonic-Scalpel-Generator-Foot-Switch-Manual-/172036548774,carribeandragon,Ebay,Ethicon G300 Gen 4 Ultracision Harmonic Scalpel Generator / Foot Switch & Manual,"US $4,999.99",1891,,Used,Good with minor scratches and marks but powers up and appear to be in working order,"Noblesville, Indiana, United States"
22,http://www.ebay.com/itm/SNGCB-Ethicon-Harmonic-Synergy-Curved-Blade-w-Torque-Wrench-Exp-04-2019-/191764719873,collectibles-n-more,Ebay,SNGCB: Ethicon Harmonic Synergy Curved Blade w/ Torque Wrench Exp:04/2019,US $150.00,70,,New,,"
	"
23,http://www.ebay.com/itm/Ethicon-Harmonic-ACE-Ultracision-Ultrasonic-Scalpel-Curved-Active-Blade-/191764678172,chadwick22,Ebay, Ethicon Harmonic ACE Ultracision Ultrasonic Scalpel Curved Active Blade,US $29.99,7,,New other (see details),,"New London, Connecticut, United States"
24,http://www.ebay.com/itm/Teleflex-Horizon-M-L-reusable-laparoscopic-clip-applier-Weck-Ethicon-338110-33cm-/111854828905,grapej1026,Ebay,Teleflex Horizon M-L reusable laparoscopic clip applier Weck Ethicon 338110 33cm,US $189.00,135,,New,,"Slingerlands, New York, United States"
25,http://www.ebay.com/itm/Ethicon-Endo-Surgery-Multi-Clip-Applier-10mm-x-28-9cm-Shaft-/191764637226,chadwick22,Ebay,Ethicon Endo Surgery Multi Clip Applier 10mm x 28.9cm Shaft,US $49.99,7,,New other (see details),,"Henderson, Nevada, United States"
26,http://www.ebay.com/itm/ETHICON-EL-314-LIGACLIP-APPLIERS-EL314-CLIP-MEDIUM-LARGE-M-L-ENDOSCOPIC-ROTATING-/181967387276,chirpychuckles,Ebay,ETHICON EL-314 LIGACLIP APPLIERS EL314 CLIP MEDIUM/LARGE M/L ENDOSCOPIC ROTATING,US $289.99,1481,,Used,"In very nice, gently used condition.  Works perfectly.  No rust, chips, bends, or cracks.","Rossford, Ohio, United States"
27,http://www.ebay.com/itm/ACE36E-Ethicon-Harmonic-Ace-Curved-Shears-ea-x-/121843954996,djenky99,Ebay,ACE36E: Ethicon Harmonic Ace Curved Shears (ea) (x),US $350.00,58,100% Positive feedback,New,,"Fort George G Meade, Maryland, United States"
28,http://www.ebay.com/itm/New-Ethicon-Ligaclip-Applier-Small-7-5-LC-107-/141863106954,877444unix,Ebay,"New Ethicon Ligaclip Applier Small 7.5""  LC-107",US $44.50,20065,99.8% Positive feedback,New,,"Howell, Michigan, United States"
29,http://www.ebay.com/itm/6-ETHICON-MULTI-USE-SINGLE-CLIP-APPLIER-BLUE-5-3-4-/291645325452,clearchoicemed,Ebay,"6  ETHICON  MULTI USE SINGLE CLIP APPLIER - BLUE -  5-3/4""",US $99.00,312,,Used,,"Seminole, Florida, United States"
30,http://www.ebay.com/itm/Ethicon-Endo-Surgery-LigaClip-10-5-10-1-2-White-Medium-Single-Clip-Applier-/262197261617,secondchancemedical,Ebay,"Ethicon Endo-Surgery LigaClip 10.5"" 10 1/2"" White Medium Single-Clip Applier",US $16.95,259,,Used,,"Massapequa Park, New York, United States"
